Id. Biblioth�que actuelle;ppn;ID Localisation;Desc Cote Principale;count
LASH;001826018;SL1;034 QSJ 1395;0
LASH;002295431;SL1;034 QSJ 1404;0
LASH;00437892X;SL1;034 QSJ 1399;0
LASH;004005120;SL1;034 QSJ 1411;0
LASH;004005120;SL1;034 QSJ 1411;0
LASH;045227802;SL1;034 QSJ 1386;0
LASH;00229558X;SL1;034 QSJ 1419;0
LASH;002295415;SL1;034 QSJ 1402;0
LASH;002295458;SL1;034 QSJ 1406;0
LASH;002295474;SL1;034 QSJ 1408;0
LASH;00437892X;SL1;034 QSJ 1399;0
LASH;003597024;SL1;034 QSJ 1428;0
LASH;069643849;SL1;034 QSJ 1422;0
LASH;00229561X;SL1;034 QSJ 1423;0
LASH;003089355;SL1;034 QSJ 1427;0
LASH;003597024;SL1;034 QSJ 1428;0
LASH;012268763;SL1;034 QSJ 1426;0
LASH;00229558X;SL1;034 QSJ 1419;0
LASH;007516096;SL1;034 QSJ 1421;0
LASH;010098364;SL1;034 QSJ 142;0
LASH;002295628;SL1;034 QSJ 1424;0
LASH;012268763;SL1;034 QSJ 1426;0
LASH;002295644;SL1;034 QSJ 1426;0
LASH;002295652;SL1;034 QSJ 1427;0
LASH;069643849;SL1;034 QSJ 1422;0
LASH;002295601;SL1;034 QSJ 1422;0
LASH;007516096;SL1;034 QSJ 1421;0
LASH;000008109;SL1;034 QSJ 1425;0
LASH;00229575X;SL1;034 QSJ 1437;0
LASH;002295903;SL1;034 QSJ 1451;0
LASH;00229575X;SL1;034 QSJ 1437;0
LASH;000093374;SL1;034 QSJ 145;0
LASH;001820982;SL1;034 QSJ 1439;0
LASH;071474110;SL1;034 QSJ 1433;0
LASH;071474110;SL1;034 QSJ 1433;0
LASH;003597024;SL1;034 QSJ 1428;0
LASH;002295814;SL1;034 QSJ 1442;0
LASH;002864401;SL1;034 QSJ 1447;0
LASH;002295830;SL1;034 QSJ 1444;0
LASH;002295679;SL1;034 QSJ 1429;0
LASH;003483703;SL1;034 QSJ 1481;0
LASH;061288675;SL1;034 QSJ 1475;0
LASH;121675262;SL1;034 QSJ 1475;0
LASH;002295946;SL1;034 QSJ 1455;0
LASH;001691600;SL1;034 QSJ 1475;0
LASH;004033027;SL1;034 QSJ 148;0
LASH;002295954;SL1;034 QSJ 1456;0
LASH;003322580;SL1;034 QSJ 1463;0
LASH;068342675;SL1;034 QSJ 1475;0
LASH;002295776;SL1;034 QSJ 1439;0
LASH;004287762;SL1;034 QSJ 1455;0
LASH;121675262;SL1;034 QSJ 1475;0
LASH;002295717;SL1;034 QSJ 1433;0
LASH;002295660;SL1;034 QSJ 1428;0
LASH;008180121;SL1;034 QSJ 145;0
LASH;002296152;SL1;034 QSJ 1475;0
LASH;004287762;SL1;034 QSJ 1455;0
LASH;00376155X;SL1;034 QSJ 1466;0
